video_id,query_id,query_text,time,detector_score,crop_score
video_01,q002,a cyclist,179.0,0.400709331035614,0.10242904722690582
video_01,q003,a yellow car,179.0,0.7112979888916016,0.08773201704025269
video_01,q001,a man with a red backpack,180.0,0.3222772777080536,0.007528986781835556
video_01,q002,a cyclist,180.0,0.42490875720977783,0.07694818079471588
video_01,q003,a yellow car,180.0,0.716076135635376,0.08860664069652557
video_01,q001,a man with a red backpack,181.0,0.27595028281211853,0.026074130088090897
video_01,q002,a cyclist,181.0,0.5511819124221802,0.13649925589561462
video_01,q003,a yellow car,181.0,0.6485889554023743,0.07759749889373779
video_01,q001,a man with a red backpack,182.0,0.3146144151687622,0.005059963092207909
video_01,q002,a cyclist,182.0,0.5416477918624878,0.1383495330810547
video_01,q003,a yellow car,182.0,0.6043006777763367,0.08245730400085449
video_01,q001,a man with a red backpack,183.0,0.28208038210868835,0.06645332276821136
video_01,q002,a cyclist,183.0,0.47751179337501526,0.1365625113248825
video_01,q003,a yellow car,183.0,0.6516349911689758,0.0696534737944603
video_01,q001,a man with a red backpack,184.0,0.26233187317848206,0.04163997247815132
video_01,q002,a cyclist,184.0,0.39785218238830566,0.0827537551522255
video_01,q003,a yellow car,184.0,0.7411757707595825,0.08165965229272842
video_01,q001,a man with a red backpack,185.0,0.31700456142425537,0.02698536403477192
video_01,q002,a cyclist,185.0,0.4995728135108948,0.052792537957429886
video_01,q003,a yellow car,185.0,0.7458165884017944,0.08274009823799133
video_01,q001,a man with a red backpack,186.0,0.32697823643684387,0.04829922318458557
video_01,q002,a cyclist,186.0,0.4023023843765259,0.08261431753635406
video_01,q003,a yellow car,186.0,0.7556934356689453,0.0825255960226059
video_01,q001,a man with a red backpack,187.0,0.0,
video_01,q002,a cyclist,187.0,0.39364710450172424,0.06687936186790466
video_01,q003,a yellow car,187.0,0.6716127395629883,0.08387332409620285
video_01,q001,a man with a red backpack,188.0,0.0,
video_01,q002,a cyclist,188.0,0.41497737169265747,0.06532761454582214
video_01,q003,a yellow car,188.0,0.5788185000419617,0.08318234980106354
video_01,q001,a man with a red backpack,189.0,0.3078457713127136,0.04409667104482651
video_01,q002,a cyclist,189.0,0.4217778444290161,0.06849878281354904
video_01,q003,a yellow car,189.0,0.6187425851821899,0.05681426823139191
video_01,q001,a man with a red backpack,190.0,0.32710200548171997,0.04194005951285362
video_01,q002,a cyclist,190.0,0.4009301960468292,0.0778779536485672
video_01,q003,a yellow car,190.0,0.49111616611480713,0.05511357635259628
video_01,q001,a man with a red backpack,191.0,0.32888907194137573,0.03590463474392891
video_01,q002,a cyclist,191.0,0.3915596902370453,0.07357876002788544
video_01,q003,a yellow car,191.0,0.7620972394943237,0.08964031934738159
video_01,q001,a man with a red backpack,192.0,0.2948019802570343,0.03822052851319313
video_01,q002,a cyclist,192.0,0.3614637553691864,0.07974410802125931
video_01,q003,a yellow car,192.0,0.745620846748352,0.08891522139310837
